scenario_id,route_id,lot_id,dong,path_order,route_lat,route_lon,approval,drone_t,time_saving,co2_saving,hub_rank
S001,R000135,205-3-000001,시흥동,2,37.42037,127.11878,True,0.66,24.34,1095.3,3
S001,R000136,205-3-000001,도촌동,1,37.42018,127.12628,True,0.74,24.26,1091.7,3
S001,R000136,205-3-000001,도촌동,2,37.4184,127.13435,True,0.74,24.26,1091.7,3
S001,R000137,205-3-000001,야탑1동,1,37.42018,127.12628,True,1.08,23.92,1076.4,3
S001,R000137,205-3-000001,야탑1동,2,37.41058,127.12844,True,1.08,23.92,1076.4,3
S001,R000138,205-3-000001,하대원동,1,37.42018,127.12628,True,0.82,24.18,1088.1,3
S001,R000138,205-3-000001,하대원동,2,37.42579,127.13235,True,0.82,24.18,1088.1,3
S001,R000139,205-3-000001,하대원동,1,37.42018,127.12628,True,1.09,23.91,1076.0,3
S001,R000139,205-3-000001,하대원동,2,37.42862,127.13259,True,1.09,23.91,1076.0,3
S001,R000140,205-3-000001,성남동,1,37.42018,127.12628,True,0.39,24.61,1107.5,3
S001,R000140,205-3-000001,성남동,2,37.42362,127.12692,True,0.39,24.61,1107.5,3
S001,R000141,205-3-000001,도촌동,1,37.42018,127.12628,True,0.61,24.39,1097.5,3
S001,R000141,205-3-000001,도촌동,2,37.42428,127.12173,True,0.61,24.39,1097.5,3
S001,R000142,205-3-000001,성남동,1,37.42018,127.12628,True,1.01,23.99,1079.5,3
S001,R000142,205-3-000001,성남동,2,37.42928,127.1274,True,1.01,23.99,1079.5,3
S001,R000143,205-3-000001,야탑1동,1,37.42018,127.12628,True,0.5,24.5,1102.5,3
S001,R000143,205-3-000001,야탑1동,2,37.41623,127.12892,True,0.5,24.5,1102.5,3
S001,R000144,205-3-000001,시흥동,1,37.42018,127.12628,True,0.91,24.09,1084.0,3
S001,R000144,205-3-000001,시흥동,2,37.42212,127.11631,True,0.91,24.09,1084.0,3
