scenario_id,lot_id,lot_name,lat,lon,gu,dong,rank,cover_n,cover_ds,route_fi,delivery_zone,explanation
S030,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,1,57,21.9485,0.69945,드론우선,수요커버 Ds=21.95 | 57셀 | 선정순위#1 | 경로타당성70%
S030,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,2,28,8.8285,0.71791,드론우선,수요커버 Ds=8.83 | 28셀 | 선정순위#2 | 경로타당성72%
S030,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,16,5.2272,0.74493,드론우선,수요커버 Ds=5.23 | 16셀 | 선정순위#3 | 경로타당성74%
S030,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,3,1.1463,0.83482,부적합,수요커버 Ds=1.15 | 3셀 | 선정순위#4 | 경로타당성83%
S030,206-2-000021,수내제2공영,37.36665,127.12851,분당구,수내3동,5,1,0.3094,0.74003,부적합,수요커버 Ds=0.31 | 1셀 | 선정순위#5 | 경로타당성74%
S030,206-2-000010,수내동,37.3668,127.12796,분당구,수내3동,6,0,0.0,0.5,부적합,수요커버 Ds=0.00 | 0셀 | 선정순위#6 | 경로타당성50%
S031,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,26.7947,0.78124,부적합,수요커버 Ds=26.79 | 60셀 | 선정순위#1 | 경로타당성78%
S031,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,57,22.1967,0.69945,드론우선,수요커버 Ds=22.20 | 57셀 | 선정순위#2 | 경로타당성70%
S031,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,3,59,21.6641,0.62646,부적합,수요커버 Ds=21.66 | 59셀 | 선정순위#3 | 경로타당성63%
S031,206-2-000004,맛고을,37.41166,127.13178,분당구,야탑1동,4,60,21.2672,0.65956,부적합,수요커버 Ds=21.27 | 60셀 | 선정순위#4 | 경로타당성66%
S031,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,5,60,20.7606,0.6887,부적합,수요커버 Ds=20.76 | 60셀 | 선정순위#5 | 경로타당성69%
S031,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,19.8816,0.71941,부적합,수요커버 Ds=19.88 | 60셀 | 선정순위#6 | 경로타당성72%
S032,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,1,57,22.1967,0.69945,드론우선,수요커버 Ds=22.20 | 57셀 | 선정순위#1 | 경로타당성70%
S032,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,2,28,8.9275,0.71791,드론우선,수요커버 Ds=8.93 | 28셀 | 선정순위#2 | 경로타당성72%
S032,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,16,5.2864,0.74493,드론우선,수요커버 Ds=5.29 | 16셀 | 선정순위#3 | 경로타당성74%
S032,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,3,1.1592,0.83482,부적합,수요커버 Ds=1.16 | 3셀 | 선정순위#4 | 경로타당성83%
S032,206-2-000021,수내제2공영,37.36665,127.12851,분당구,수내3동,5,1,0.3129,0.74003,부적합,수요커버 Ds=0.31 | 1셀 | 선정순위#5 | 경로타당성74%
S032,206-2-000010,수내동,37.3668,127.12796,분당구,수내3동,6,0,0.0,0.5,부적합,수요커버 Ds=0.00 | 0셀 | 선정순위#6 | 경로타당성50%
S033,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,26.7301,0.78124,부적합,수요커버 Ds=26.73 | 60셀 | 선정순위#1 | 경로타당성78%
S033,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,2,57,19.8909,0.78484,부적합,수요커버 Ds=19.89 | 57셀 | 선정순위#2 | 경로타당성78%
S033,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,3,56,19.5442,0.8105,부적합,수요커버 Ds=19.54 | 56셀 | 선정순위#3 | 경로타당성81%
S033,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,18.9752,0.6887,부적합,수요커버 Ds=18.98 | 60셀 | 선정순위#4 | 경로타당성69%
S033,204-1-000004,수상9-10,37.43746,127.13988,중원구,성남동,5,60,18.4136,0.6573,부적합,수요커버 Ds=18.41 | 60셀 | 선정순위#5 | 경로타당성66%
S033,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,18.2508,0.71941,부적합,수요커버 Ds=18.25 | 60셀 | 선정순위#6 | 경로타당성72%
S034,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,26.7301,0.78124,부적합,수요커버 Ds=26.73 | 60셀 | 선정순위#1 | 경로타당성78%
S034,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,2,57,19.8909,0.78484,부적합,수요커버 Ds=19.89 | 57셀 | 선정순위#2 | 경로타당성78%
S034,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,3,56,19.5442,0.8105,부적합,수요커버 Ds=19.54 | 56셀 | 선정순위#3 | 경로타당성81%
S034,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,18.9752,0.6887,부적합,수요커버 Ds=18.98 | 60셀 | 선정순위#4 | 경로타당성69%
S034,204-1-000004,수상9-10,37.43746,127.13988,중원구,성남동,5,60,18.4136,0.6573,부적합,수요커버 Ds=18.41 | 60셀 | 선정순위#5 | 경로타당성66%
S034,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,18.2508,0.71941,부적합,수요커버 Ds=18.25 | 60셀 | 선정순위#6 | 경로타당성72%
S035,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,27.0905,0.78124,부적합,수요커버 Ds=27.09 | 60셀 | 선정순위#1 | 경로타당성78%
S035,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,2,57,20.1743,0.78484,부적합,수요커버 Ds=20.17 | 57셀 | 선정순위#2 | 경로타당성78%
S035,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,3,56,19.8168,0.8105,부적합,수요커버 Ds=19.82 | 56셀 | 선정순위#3 | 경로타당성81%
S035,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,19.2546,0.6887,부적합,수요커버 Ds=19.25 | 60셀 | 선정순위#4 | 경로타당성69%
S035,204-1-000004,수상9-10,37.43746,127.13988,중원구,성남동,5,60,18.703,0.6573,부적합,수요커버 Ds=18.70 | 60셀 | 선정순위#5 | 경로타당성66%
S035,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,18.5187,0.71941,부적합,수요커버 Ds=18.52 | 60셀 | 선정순위#6 | 경로타당성72%
S036,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,27.0905,0.78124,부적합,수요커버 Ds=27.09 | 60셀 | 선정순위#1 | 경로타당성78%
S036,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,2,57,20.1743,0.78484,부적합,수요커버 Ds=20.17 | 57셀 | 선정순위#2 | 경로타당성78%
S036,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,3,56,19.8168,0.8105,부적합,수요커버 Ds=19.82 | 56셀 | 선정순위#3 | 경로타당성81%
S036,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,19.2546,0.6887,부적합,수요커버 Ds=19.25 | 60셀 | 선정순위#4 | 경로타당성69%
S036,204-1-000004,수상9-10,37.43746,127.13988,중원구,성남동,5,60,18.703,0.6573,부적합,수요커버 Ds=18.70 | 60셀 | 선정순위#5 | 경로타당성66%
S036,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,18.5187,0.71941,부적합,수요커버 Ds=18.52 | 60셀 | 선정순위#6 | 경로타당성72%
S037,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,28.8036,0.78124,부적합,수요커버 Ds=28.80 | 60셀 | 선정순위#1 | 경로타당성78%
S037,204-2-000028,수진 제2,37.43535,127.13409,중원구,성남동,2,61,22.1227,0.68985,부적합,수요커버 Ds=22.12 | 61셀 | 선정순위#2 | 경로타당성69%
S037,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,3,57,22.1061,0.78484,부적합,수요커버 Ds=22.11 | 57셀 | 선정순위#3 | 경로타당성78%
S037,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,22.1002,0.6887,부적합,수요커버 Ds=22.10 | 60셀 | 선정순위#4 | 경로타당성69%
S037,206-2-000004,맛고을,37.41166,127.13178,분당구,야탑1동,5,60,21.6236,0.65956,부적합,수요커버 Ds=21.62 | 60셀 | 선정순위#5 | 경로타당성66%
S037,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,21.4403,0.71941,부적합,수요커버 Ds=21.44 | 60셀 | 선정순위#6 | 경로타당성72%
S038,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,28.8036,0.78124,부적합,수요커버 Ds=28.80 | 60셀 | 선정순위#1 | 경로타당성78%
S038,204-2-000028,수진 제2,37.43535,127.13409,중원구,성남동,2,61,22.1227,0.68985,부적합,수요커버 Ds=22.12 | 61셀 | 선정순위#2 | 경로타당성69%
S038,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,3,57,22.1061,0.78484,부적합,수요커버 Ds=22.11 | 57셀 | 선정순위#3 | 경로타당성78%
S038,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,22.1002,0.6887,부적합,수요커버 Ds=22.10 | 60셀 | 선정순위#4 | 경로타당성69%
S038,206-2-000004,맛고을,37.41166,127.13178,분당구,야탑1동,5,60,21.6236,0.65956,부적합,수요커버 Ds=21.62 | 60셀 | 선정순위#5 | 경로타당성66%
S038,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,21.4403,0.71941,부적합,수요커버 Ds=21.44 | 60셀 | 선정순위#6 | 경로타당성72%
S039,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,29.165,0.78124,부적합,수요커버 Ds=29.16 | 60셀 | 선정순위#1 | 경로타당성78%
S039,204-2-000028,수진 제2,37.43535,127.13409,중원구,성남동,2,61,22.4084,0.68985,부적합,수요커버 Ds=22.41 | 61셀 | 선정순위#2 | 경로타당성69%
S039,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,3,57,22.3891,0.78484,부적합,수요커버 Ds=22.39 | 57셀 | 선정순위#3 | 경로타당성78%
S039,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,22.3793,0.6887,부적합,수요커버 Ds=22.38 | 60셀 | 선정순위#4 | 경로타당성69%
S039,206-2-000004,맛고을,37.41166,127.13178,분당구,야탑1동,5,60,21.9097,0.65956,부적합,수요커버 Ds=21.91 | 60셀 | 선정순위#5 | 경로타당성66%
S039,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,21.7083,0.71941,부적합,수요커버 Ds=21.71 | 60셀 | 선정순위#6 | 경로타당성72%
S040,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,29.165,0.78124,부적합,수요커버 Ds=29.16 | 60셀 | 선정순위#1 | 경로타당성78%
S040,204-2-000028,수진 제2,37.43535,127.13409,중원구,성남동,2,61,22.4084,0.68985,부적합,수요커버 Ds=22.41 | 61셀 | 선정순위#2 | 경로타당성69%
S040,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,3,57,22.3891,0.78484,부적합,수요커버 Ds=22.39 | 57셀 | 선정순위#3 | 경로타당성78%
S040,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,4,60,22.3793,0.6887,부적합,수요커버 Ds=22.38 | 60셀 | 선정순위#4 | 경로타당성69%
S040,206-2-000004,맛고을,37.41166,127.13178,분당구,야탑1동,5,60,21.9097,0.65956,부적합,수요커버 Ds=21.91 | 60셀 | 선정순위#5 | 경로타당성66%
S040,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,21.7083,0.71941,부적합,수요커버 Ds=21.71 | 60셀 | 선정순위#6 | 경로타당성72%
S041,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,27.3839,0.78124,부적합,수요커버 Ds=27.38 | 60셀 | 선정순위#1 | 경로타당성78%
S041,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,2,59,21.7213,0.62646,부적합,수요커버 Ds=21.72 | 59셀 | 선정순위#2 | 경로타당성63%
