target_h3_index,assigned_lot_id,assigned_lot_name,target_ADM_NM,target_GU_NM,Ds,delivery_zone,drone_time_min,route_mean_constraint_score,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible
8930e024db7ffff,206-2-000007,정자역환승,정자동,분당구,0.4300143748335851,부적합,0.4814260137026661,0.7446237091515578,True,False,True
8930e024dbbffff,206-2-000007,정자역환승,정자1동,분당구,0.6610120434351695,드론우선,0.7667487574365269,0.7888066533103028,True,False,True
8930e026837ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,1.152029315689097,0.7356004030012064,True,False,True
8930e026883ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,1.1294355195660462,0.6654210616066493,True,False,True
8930e026887ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.8754355420959838,0.6595289125460988,True,False,True
8930e02688fffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,1.138783390213685,0.6605364616398383,True,False,True
8930e026897ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.9257608987401768,0.6879706060811669,True,False,True
8930e0268a3ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.7343520444313623,0.7086977603900095,True,False,True
8930e0268a7ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.6134079212712703,0.7249911811209349,True,False,True
8930e0268abffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,1.0470393098893616,0.7133092623904478,True,False,True
8930e0268afffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.9208688631822078,0.7161619653328267,True,False,True
8930e0268b3ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.6332234711282936,0.6825760576692762,True,False,True
8930e0268b7ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.4235581278825375,0.7222956361308162,True,False,True
8930e0268bbffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.9198551110603198,0.6721403635143773,True,False,True
8930e026913ffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,1.1374319274545683,0.7143454359006057,True,False,True
8930e026923ffff,206-2-000020,백현동카페거리공영주차장,판교동,분당구,0.2981632220459188,부적합,1.049993765686518,0.7975089826281434,True,False,True
8930e026927ffff,206-2-000020,백현동카페거리공영주차장,백현동,분당구,0.4537636252138829,부적합,0.8218147194030628,0.7867183224564079,True,False,True
8930e02692bffff,206-2-000020,백현동카페거리공영주차장,판교동,분당구,0.2981632220459188,부적합,1.1104154916489792,0.7770573031135766,True,False,True
8930e02692fffff,206-2-000020,백현동카페거리공영주차장,판교동,분당구,0.2981632220459188,부적합,0.8488625739631761,0.774507950265831,True,False,True
8930e026937ffff,206-2-000020,백현동카페거리공영주차장,판교동,분당구,0.2981632220459188,부적합,1.081292344826153,0.8023466493133599,True,False,True
8930e026983ffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,0.8555889650660491,0.7590931334970153,True,False,True
8930e026987ffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,1.109069126052429,0.7549838317510673,True,False,True
8930e02698bffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,0.8663897374069836,0.7292455506970301,True,False,True
8930e02698fffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,1.0785576839494588,0.7429119009297718,True,False,True
