h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Ds,demand_grade,score_airspace,score_obstacle,score_noise_proxy,score_terrain,score_robot,score_weather,constraint_score,constraint_grade,n_highrise,n_buildings_total,n_lowrise,Ra,Ra_grade,n_crossings,weather_risk,weather_source,airspace_data_status,airspace_proxy_flag,terrain_method,hard_exclusion_flag,constraint_note,airspace_score,obstacle_score,noise_sensitive_score,robot_access_score,weather_score,noise_method,hard_exclusion_reasons
8930e024db7ffff,37.36279709789286,127.11130934766253,41135545,정자동,분당구,0.4300143748335851,B,0.0,0.0,0.8790967245442738,1.0,0.4253922871943887,0.944093,0.44971640234773247,D,35,244,189,0.4253922871943887,A,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.0,0.8790967245442738,0.4253922871943887,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지|장애물밀집
8930e1cd28fffff,37.45966205685291,127.16933835432305,41133560,은행2동,중원구,0.2844044762250496,C,0.0,0.4375,0.4622759848011157,0.6,0.3548261280363172,0.944093,0.4397390225674866,D,18,741,653,0.3548261280363172,B,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.4375,0.4622759848011157,0.3548261280363172,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e026103ffff,37.3822259108177,127.0370256486176,41135680,운중동,분당구,0.3436518582823575,B,1.0,0.96875,0.8799999999999999,0.6,0.0,0.944093,0.7585686,C,1,1,0,0.0,D,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,False,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,1.0,0.96875,0.8799999999999999,0.0,0.944093,noise_proxy×0.7 + terrain_slope×0.3,
8930e1c9bbbffff,37.418207927472295,127.11335733438077,41131650,시흥동,수정구,0.2292619362013324,D,0.0,0.96875,0.7168765331152902,0.6,0.4481195468122612,0.944093,0.6155678159855102,C,1,255,255,0.4481195468122612,A,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.7168765331152902,0.4481195468122612,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e152123ffff,37.43572767951167,127.1777987371816,41133570,상대원1동,중원구,0.2265850361917555,D,0.0,0.96875,0.764590447789909,1.0,0.2773086616673327,0.944093,0.5909484218914484,A,1,387,368,0.2773086616673327,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.764590447789909,0.2773086616673327,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e15226fffff,37.39988575553559,127.15637990611452,41135640,야탑3동,분당구,0.2899265421066042,C,0.0,0.96875,0.8704045019479583,0.6,0.259271758448685,0.944093,0.6085038520793287,B,1,15,15,0.259271758448685,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.96875,0.8704045019479583,0.259271758448685,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e152607ffff,37.42122371300481,127.13458640138018,41133670,도촌동,중원구,0.2853938536924451,C,0.0,0.875,0.8089933144148911,0.6,0.3162882793328909,0.944093,0.5888749187495563,C,4,121,111,0.3162882793328909,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.875,0.8089933144148911,0.3162882793328909,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e1534b3ffff,37.40125847023133,127.11192904050102,41135655,삼평동,분당구,0.458371381575248,A,0.0,0.46875,0.8976480207782211,1.0,0.8772697848574864,0.944093,0.6375521611271415,A,17,211,160,0.8772697848574864,A,12.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.46875,0.8976480207782211,0.8772697848574864,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e1cd66bffff,37.45815316166895,127.15870880930872,41131590,단대동,수정구,0.2843489320738011,C,0.0,0.9375,0.4354085902553988,0.6,0.2370803392144243,0.944093,0.5108163858939646,D,2,755,695,0.2370803392144243,C,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.9375,0.4354085902553988,0.2370803392144243,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
8930e0269c3ffff,37.38478110763215,127.08434958333088,41135680,운중동,분당구,0.3436518582823575,B,0.0,0.90625,0.8556914049348276,0.6,0.0,0.944093,0.5412068809869656,D,3,41,38,0.0,D,0.0,0.055907,kma_hourly_observed_1year,official_vworld_wfs_관제권,False,rasterstats_zonal_mean,True,airspace:official_vworld_wfs_관제권 | obstacle:official_osm_buildings | noise:proxy_building_density | terrain:rasterstats_zonal_mean | robot:NB07b_ra_index | weather:NB07c_kma_1year,0.0,0.90625,0.8556914049348276,0.0,0.944093,noise_proxy×0.7 + terrain_slope×0.3,관제권내비행금지
