h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Ds,demand_grade,score_airspace,score_obstacle,score_noise_proxy,score_terrain,score_robot,score_weather,constraint_score,constraint_grade,drone_score,robot_score,service_priority_score,delivery_zone,high_demand_flag,priority_zone,zone_reason,airspace_data_status,airspace_proxy_flag,airspace_proxy_caution_flag,hard_exclusion_flag
8930e1cd22bffff,37.4526890744628,127.17924635728771,41133570,상대원1동,중원구,0.2265850361917555,D,0.0,0.96875,0.9990861430426627,0.6,0.3797486972240427,0.944093,0.7687306575500072,A,0.6037100643042663,0.3797486972240427,0.3892115282375917,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e152487ffff,37.447313435582025,127.13154839770279,41131560,태평3동,수정구,0.49063680218792455,A,0.0,0.9375,0.02202131859455192,0.6,0.4258826719332123,0.944093,0.5863686232239557,D,0.49819108185945515,0.4258826719332123,0.4803299740220178,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026a67ffff,37.3526383141327,127.07904023745935,41135665,구미1동,분당구,0.34185927345280975,B,1.0,0.96875,0.8958203068635467,0.6,0.14048433031013569,0.944093,0.7045062444700654,C,0.8933834806863548,0.14048433031013569,0.4946177573560157,드론우선,True,True,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e1c9b57ffff,37.40864986184249,127.109931074928,41131650,시흥동,수정구,0.2292619362013324,D,0.0,0.96875,0.9186667307969795,1.0,0.3364777748072352,0.944093,0.8455387198007902,A,0.6756681230796979,0.3364777748072352,0.40694726932994085,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1525a3ffff,37.454242714660865,127.15575151191074,41131590,단대동,수정구,0.28434893207380113,C,0.0,0.875,0.07360153870812625,0.6,0.3776163040185309,0.944093,0.5713649705112482,D,0.4877241038708126,0.3776163040185309,0.37418371659170113,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e15344fffff,37.38431043449537,127.1105015137437,41135657,백현동,분당구,0.45376362521388297,B,0.0,0.8125,0.7733634745803473,1.0,0.4085756659698356,0.944093,0.7927502138531592,A,0.6220752974580347,0.4085756659698356,0.5036351186505266,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c8ba3ffff,37.46643791827393,127.13841508411134,41131625,위례동,수정구,0.46287014847446417,A,0.0,0.90625,0.7989514693857919,1.0,0.668637740582169,0.944093,0.8697471018689926,A,0.6480715969385791,0.668637740582169,0.5688441738584453,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1cd607ffff,37.46837556937574,127.15695295838024,41131625,위례동,수정구,0.46287014847446417,A,0.0,0.96875,0.9844644317252658,0.6,0.5061079639097619,0.944093,0.7896814491815677,A,0.6022478931725266,0.5061079639097619,0.5202999222058455,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9a4fffff,37.39650217868324,127.09318946067502,41135650,판교동,분당구,0.29816322204591883,C,0.0,0.625,0.8802847385888124,0.6,0.2042822391340528,0.944093,0.6276179333230372,D,0.5058924238588812,0.2042822391340528,0.3520922460980825,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e15249bffff,37.44514544270531,127.12611900809368,41131540,태평1동,수정구,0.327805441111458,B,0.0,0.96875,0.037514728541647724,1.0,0.4258826719332123,0.944093,0.6970861375890361,C,0.5875529228541647,0.4258826719332123,0.4383325058857562,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e153347ffff,37.36273436620078,127.14536250013185,41135510,분당동,분당구,0.25547859328212585,C,1.0,0.96875,0.9497378673464479,0.6,0.0,0.944093,0.6882749751274589,D,0.8987752367346449,0.0,0.4295366998340823,드론우선,False,False,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e1c9a3bffff,37.40431718615242,127.09908524867218,41135655,삼평동,분당구,0.458371381575248,A,0.0,0.96875,0.9150113029676302,1.0,0.2911169957961413,0.944093,0.8363481810182071,A,0.6753025802967629,0.2911169957961413,0.5008464239719569,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c8a9bffff,37.45733406831192,127.1087889585686,41131630,신촌동,수정구,0.17434483147037586,D,0.0,0.96875,0.8455581742099947,0.6,0.2903245531532785,0.944093,0.7231771363806136,C,0.5883572674209995,0.2903245531532785,0.34244512838967467,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026e2fffff,37.36873141461155,127.06468337919283,41135680,운중동,분당구,0.34365185828235756,B,1.0,0.96875,0.9862921456399404,0.6,0.36219943646484,0.944093,0.7630412966446463,B,0.9024306645639941,0.36219943646484,0.5429339561174269,드론우선,True,True,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e026857ffff,37.37372003896904,127.07033430047706,41135680,운중동,분당구,0.34365185828235756,B,0.0,0.96875,0.9515655812611226,0.6,0.3497062457518311,0.944093,0.7541875925649288,B,0.5989580081261122,0.3497062457518311,0.43421988822156643,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9073ffff,37.41718616788954,127.0425476592095,41131640,고등동,수정구,0.24694815124964348,C,0.0,0.96875,1.0,0.6,0.3346942823896865,0.944093,0.7604543029480662,B,0.60380145,0.3346942823896865,0.38939603204027684,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e02694bffff,37.375650675838465,127.08882109447072,41135662,금곡동,분당구,0.3352825633228366,B,0.0,0.96875,1.0,0.6,0.18199208735585398,0.944093,0.7318226413792226,C,0.60380145,0.18199208735585398,0.39860607846644724,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c8b8fffff,37.46426900572389,127.13298321809249,41131620,복정동,수정구,0.2465699214638441,C,0.0,0.96875,0.8437304602953201,0.6,0.3225602246377224,0.944093,0.7288786284249454,C,0.588174496029532,0.3225602246377224,0.3813295831966105,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026d3bffff,37.39673486060197,127.08011367462954,41135680,운중동,분당구,0.34365185828235756,B,0.0,0.96875,0.923236015583666,0.6,0.3697006609791916,0.944093,0.7526247518555357,B,0.5961250515583666,0.3697006609791916,0.43722723646832756,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9947ffff,37.42668318827605,127.11407176918429,41131650,시흥동,수정구,0.2292619362013324,D,0.0,0.96875,0.9122697320956182,1.0,0.3079757279531309,0.944093,0.8389951487591404,A,0.6750284232095618,0.3079757279531309,0.40102296500457235,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9e2bffff,37.41476307556046,127.08424324643224,41131650,시흥동,수정구,0.2292619362013324,D,0.0,0.96875,0.9013034486075706,0.6,0.0,0.944093,0.6791935216139194,D,0.5939317948607571,0.0,0.31104399949186456,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e152393ffff,37.42357668168539,127.1610169288784,41133670,도촌동,중원구,0.2853938536924451,C,0.0,0.96875,0.9570487230051464,0.6,0.2500388722364403,0.944093,0.7365280491077975,C,0.5995063223005146,0.2500388722364403,0.38826222141406846,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026c33ffff,37.39197580226731,127.06138863830522,41135680,운중동,분당구,0.34365185828235756,B,0.0,0.96875,0.7532586215189264,1.0,0.5682074450855743,0.944093,0.8579740124883438,A,0.6591273121518926,0.5682074450855743,0.49897938449733814,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c935bffff,37.40175880872927,127.05173394917801,41135680,운중동,분당구,0.34365185828235756,B,0.0,0.96875,1.0,0.6,0.38266609963710707,0.944093,0.7694490186819576,A,0.60380145,0.38266609963710707,0.4425070636544823,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9d23ffff,37.444948584700214,127.1051237915706,41131630,신촌동,수정구,0.17434483147037586,D,0.0,0.96875,0.9323745851570391,1.0,0.20933409914816284,0.944093,0.8242695033072254,A,0.6770389085157038,0.20933409914816284,0.35728561197179803,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e15343bffff,37.39212483638065,127.11640013866992,41135657,백현동,분당구,0.45376362521388297,B,0.0,0.0,0.7797604732817084,1.0,0.690924061531977,0.944093,0.6437649752775659,D,0.4195899973281708,0.690924061531977,0.48923494271750256,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e15228bffff,37.41142756756085,127.1442464392347,41135640,야탑3동,분당구,0.2899265421066042,C,0.0,0.40625,0.8885094512048483,0.6,0.3284903704774623,0.944093,0.5977615915654332,D,0.45202739512048484,0.3284903704774623,0.354374606335634,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e152c53ffff,37.43789379651402,127.1832342060984,41133570,상대원1동,중원구,0.2265850361917555,D,0.0,0.96875,0.9698427204078688,0.6,0.23543434282853803,0.944093,0.7361885743568263,C,0.6007857220407868,0.23543434282853803,0.35932513756627293,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e153137ffff,37.39140840963448,127.15565979812133,41135580,서현1동,분당구,0.46286517016966955,A,0.0,0.96875,0.9597902938771584,0.6,0.3210798134486877,0.944093,0.7503622701235961,B,0.5997804793877158,0.3210798134486877,0.4824284570517894,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e024dd3ffff,37.354564014879784,127.09752437876244,41135662,금곡동,분당구,0.3352825633228366,B,1.0,0.96875,0.9780674330239045,0.6,0.5830664368007299,0.944093,0.802911725592119,A,0.9016081933023905,0.5830664368007299,0.583053308511259,하이브리드,True,True,드론·로봇 모두 양호,official_vworld_wfs_관제권,False,False,False
8930e15361bffff,37.371930390669185,127.10683994383983,41135550,정자1동,분당구,0.6610120434351695,A,0.0,0.59375,0.9634457217065077,1.0,0.8639397468822663,0.944093,0.8590839003603951,A,0.5863960221706508,0.8639397468822663,0.6754819766820073,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e15258fffff,37.45207494933212,127.15031834635677,41131600,산성동,수정구,0.19169571191490656,D,0.0,0.9375,0.012180629827688638,1.0,0.19395418120497,0.944093,0.6410369020686235,D,0.5772070129827688,0.19395418120497,0.327076361146671,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026163ffff,37.37592400165716,127.0417341840494,41135680,운중동,분당구,0.34365185828235756,B,1.0,0.96875,0.9808090038959165,0.6,0.0,0.944093,0.6941008132304843,D,0.9018823503895916,0.0,0.470302158863418,드론우선,True,True,"드론 적합, 로봇 접근성 낮음",official_vworld_wfs_관제권,False,False,False
8930e1520abffff,37.43163218886256,127.15383031721856,41133660,하대원동,중원구,0.2609272515073311,C,0.0,0.34375,0.7121350584387476,0.6,0.2126996779538535,0.944093,0.5273556380736126,D,0.41876495584387474,0.2126996779538535,0.3065249333144258,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e026b2bffff,37.363035848007556,127.09823589936622,41135662,금곡동,분당구,0.3352825633228366,B,0.0,0.96875,0.8537828868260304,1.0,0.38005036927006863,0.944093,0.8415428605180186,A,0.669179738682603,0.38005036927006863,0.4611001358882012,부적합,True,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
8930e1c9c1bffff,37.43584574866133,127.07552996931604,41131640,고등동,수정구,0.24694815124964348,C,0.0,0.96875,0.9826367178105911,0.6,0.3066424501852406,0.944093,0.7519389689992184,B,0.6020651217810591,0.3066424501852406,0.3831779507227584,부적합,False,False,공식 hard exclusion 또는 운용성 부족,official_vworld_wfs_관제권,False,False,True
