assigned_lot_id,assigned_lot_name,target_h3_index,target_ADM_NM,target_GU_NM,Ds,esg_index,esg_tier,_score_carbon,_score_time,_score_demand,_score_reliability
206-2-000005,점골,8830e15331fffff,분당동,분당구,0.2554785932821258,0.38648689868676694,중(Mid),0.5625363388821603,0.3368113317193583,0.18404278064601376,0.2940586458622226
206-2-000005,점골,8830e15339fffff,서현2동,분당구,0.418974930376502,0.28770345767260697,하(Low),0.12426406186949827,0.3023236681788816,0.4162874547003826,0.5063642263374444
206-2-000005,점골,8830e1533bfffff,서현1동,분당구,0.4628651701696695,0.24069453909850705,하(Low),0.2895605406714243,0.05062853964691231,0.4786330375806175,0.3322227023333108
206-2-000005,점골,8830e1533dfffff,분당동,분당구,0.2554785932821258,0.43502819290070033,중(Mid),0.5510798353897319,0.3763626174676583,0.18404278064601376,0.5521127820247448
206-3-000001,분당구청 부설주차장,8830e15341fffff,백현동,분당구,0.4537636252138829,0.310629748093832,하(Low),0.4790091772178403,0.09896527103029767,0.4657043972256494,0.2565535441542422
206-3-000001,분당구청 부설주차장,8830e15343fffff,백현동,분당구,0.4537636252138829,0.43269137690057025,중(Mid),0.5435761856935678,0.36051702923339163,0.4657043972256494,0.30935394728191323
206-3-000001,분당구청 부설주차장,8830e15345fffff,백현동,분당구,0.4537636252138829,0.3482926099999173,하(Low),0.35031063441920574,0.32918923875091927,0.4657043972256494,0.27074663204350735
206-3-000001,분당구청 부설주차장,8830e15347fffff,백현동,분당구,0.4537636252138829,0.3006104208201587,하(Low),0.24008921702603347,0.32779578480840754,0.4657043972256494,0.21330007062837988
206-2-000004,맛고을,8830e15351fffff,야탑3동,분당구,0.2899265421066042,0.4287351926586518,중(Mid),0.6359581522070682,0.3282429797772748,0.23297569736306814,0.3754562790644771
206-2-000004,맛고을,8830e15353fffff,이매1동,분당구,0.2805467112355271,0.30016904954707774,하(Low),0.4830300730098496,0.09999117949478693,0.21965175505308882,0.42109231941661096
206-2-000004,맛고을,8830e15359fffff,야탑2동,분당구,0.3576010326362412,0.4164300820638719,중(Mid),0.4735275507949196,0.3527462213499059,0.329106535974936,0.5191218761129504
206-2-000004,맛고을,8830e1535bfffff,야탑3동,분당구,0.2899265421066042,0.296924299015889,하(Low),0.21739624281934383,0.31810481589619355,0.23297569736306814,0.49701715907327154
