h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,Od,Fp,Cc,Tp,Ds,urgency,legacy_urgency,demand_b2b,demand_b2c,demand_cv,Ec,h3_id,dong_nm,gu_nm,admi_cty_no,demand_score,demand_tier,demand_grade,demand_rank,demand_percentile,delivery_urgency,od_score,fp_score,cc_score,tp_score,Od_volume,Cc_volume,avg_monthly_del_cnt,delivery_cnt_per_km2,flow_pop_index,area_km2,delivery_demand_index
8930e1c9313ffff,37.41131297943513,127.05514779724768,41131650,시흥동,수정구,0.011720701350201802,0.619594904114988,0.006484415248343871,0.45759907258619203,0.2292619362013324,0.2292619362013324,0.4559927395584647,0.0257775567427015,0.011720701350201802,0.30802146441404593,0.0257775567427015,8930e1c9313ffff,시흥동,수정구,41131650,0.2292619362013324,LOW,D,8,16.0,0.4559927395584647,0.011720701350201802,0.619594904114988,0.006484415248343871,0.45759907258619203,0.1814921260999907,0.12808109815141752,324325.0,25065.183768700685,0.6082055603357117,12.9392628034505,0.3861493162339475
8930e1536afffff,37.37800138447799,127.11520959401705,41135520,수내1동,분당구,1.0,0.7618966001824469,0.8725946944328697,0.4751726850853146,0.8298987264166263,0.8298987264166263,0.9348472236247279,1.0,1.0,0.5592827359524389,1.0,8930e1536afffff,수내1동,분당구,41135520,0.8298987264166263,VERY_HIGH,A,50,100.0,0.9348472236247279,1.0,0.7618966001824469,0.8725946944328697,0.4751726850853146,0.7059611154236987,0.8945400568691427,1124919.4166666667,1101003.451292566,0.7221368472765917,1.0217219713035628,0.9297159195340108
8930e1c9cafffff,37.441923468832385,127.08389998872654,41131640,고등동,수정구,0.004734422289132929,0.563307274067727,0.0034386463829846462,0.6906974889051272,0.24694815124964348,0.24694815124964348,0.3957673708183554,0.0083493668405293,0.004734422289132929,0.31715375423536823,0.0083493668405293,8930e1c9cafffff,고등동,수정구,41131640,0.24694815124964348,LOW,C,11,22.0,0.3957673708183554,0.004734422289132929,0.563307274067727,0.0034386463829846462,0.6906974889051272,0.1120858643261128,0.0886782186036037,218377.33333333334,17735.681227537825,0.5631398843293168,12.312881052139309,0.33827617654198167
8930e152217ffff,37.4107673335169,127.14943568009255,41135640,야탑3동,분당구,0.03464015578038646,0.7445110894657374,0.014320628166206035,0.5872970545032206,0.2899265421066042,0.2899265421066042,0.6758681513097939,0.1049912300940475,0.03464015578038646,0.3069935648138179,0.1049912300940475,8930e152217ffff,야탑3동,분당구,41135640,0.2899265421066042,MEDIUM,C,19,38.0,0.6758681513097939,0.03464015578038646,0.7445110894657374,0.014320628166206035,0.5872970545032206,0.13325436691363296,0.08725403201558322,250690.75,49110.63028174097,0.7082174516206173,5.104612760248066,0.6039398243505666
8930e1c894bffff,37.46992117616846,127.133461663058,41131625,위례동,수정구,0.2782908015070536,0.9256580434689438,0.13553819609994108,0.6677953870318278,0.46287014847446417,0.46287014847446417,0.9392078901998647,0.1940006705962391,0.2782908015070536,0.5027392772583122,0.1940006705962391,8930e1c894bffff,위례동,수정구,41131625,0.46287014847446417,HIGH,A,43,86.0,0.9392078901998647,0.2782908015070536,0.9256580434689438,0.13553819609994108,0.6677953870318278,0.6006154408531564,0.3928670471392361,964110.75,304731.39942066406,0.8532494938615052,3.163805081566606,0.847949126410178
8930e1530c3ffff,37.3801658033459,127.12063204552236,41135530,수내2동,분당구,0.1688082605883596,0.04418158681997905,0.06828345277470922,0.25810950544278144,0.12591557692101515,0.12591557692101515,0.1176700811066692,0.0328533287308868,0.1688082605883596,0.3132626850332916,0.0328533287308868,8930e1530c3ffff,수내2동,분당구,41135530,0.12591557692101515,LOW,D,1,2.0,0.1176700811066692,0.1688082605883596,0.04418158681997905,0.06828345277470922,0.25810950544278144,0.07135756511750294,0.0504761468962203,156206.16666666666,189870.17574750568,0.14751126382315782,0.8226998582146661,0.2555719254790002
8930e1535a7ffff,37.40817915260436,127.13610457102159,41135630,야탑2동,분당구,0.38019553105327497,0.3908446623772692,0.14881582613194844,0.5974498309352706,0.3576010326362412,0.3576010326362412,0.5189831945338882,0.2811313949753711,0.38019553105327497,0.6813261594367964,0.2811313949753711,8930e1535a7ffff,야탑2동,분당구,41135630,0.3576010326362412,MEDIUM,B,33,66.0,0.5189831945338882,0.38019553105327497,0.3908446623772692,0.14881582613194844,0.5974498309352706,0.13696283050144303,0.08232978407242936,256351.66666666666,411642.5273095734,0.42506080416315756,0.6227531162587554,0.589740090564089
8930e1cd27bffff,37.44769516443953,127.17356914436547,41133540,금광2동,중원구,0.2861491491090046,0.6837851247944691,0.09951592592028224,0.5172577551888955,0.37356612814517376,0.37356612814517376,0.694238261030594,0.0704763692597366,0.2861491491090046,0.6131421703357008,0.0704763692597366,8930e1cd27bffff,금광2동,중원구,41133540,0.37356612814517376,MEDIUM,B,34,68.0,0.694238261030594,0.2861491491090046,0.6837851247944691,0.09951592592028224,0.5172577551888955,0.1933170539291818,0.09307906072394821,342375.5833333333,312975.81368101115,0.6595983030305386,1.0939362352206767,0.6601190271676689
8930e026ab7ffff,37.36741468927934,127.07504196105312,41135680,운중동,분당구,0.011732585289699737,0.8375340736275518,0.007408907915031424,0.8553980536354453,0.34365185828235756,0.34365185828235756,0.584286316426875,0.0036784442870881,0.011732585289699737,0.6171160979681423,0.0036784442870881,8930e026ab7ffff,운중동,분당구,41135680,0.34365185828235756,MEDIUM,B,30,60.0,0.584286316426875,0.011732585289699737,0.8375340736275518,0.007408907915031424,0.8553980536354453,0.25769908480145476,0.19649007050251086,440653.8333333333,25077.651545035947,0.7826946264788317,17.571574935634654,0.43580383894434366
8930e1c9ba7ffff,37.42037470329058,127.11878282752849,41131650,시흥동,수정구,0.011720701350201802,0.619594904114988,0.006484415248343871,0.45759907258619203,0.2292619362013324,0.2292619362013324,0.4559927395584647,0.0257775567427015,0.011720701350201802,0.30802146441404593,0.0257775567427015,8930e1c9ba7ffff,시흥동,수정구,41131650,0.2292619362013324,LOW,D,8,16.0,0.4559927395584647,0.011720701350201802,0.619594904114988,0.006484415248343871,0.45759907258619203,0.1814921260999907,0.12808109815141752,324325.0,25065.183768700685,0.6082055603357117,12.9392628034505,0.3861493162339475
