scenario_id,scenario_label_kr,airspace_mode,lot_id,lot_name,lat,lon,site_GU_NM,site_ADM_NM,selected_order,assigned_Ds_sum,coverage_cell_count,route_feasibility,approval_required_routes,candidate_score,hub_explanation
S016,공역+장애물 (엄격제외),strict_exclusion,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,20.5121,57,0.69945,0,0.50197,RFI=0.600 | Ds=20.51 | 57셀 | RFI순위#2 | 경로타당성70%
S016,공역+장애물 (엄격제외),strict_exclusion,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,11.5409,36,0.78196,0,0.51049,RFI=0.506 | Ds=11.54 | 36셀 | RFI순위#3 | 경로타당성78%
S016,공역+장애물 (엄격제외),strict_exclusion,206-3-000004,분당도서관 부설주차장,37.3581,127.11658,분당구,정자3동,4,11.7716,36,0.7302,0,0.55042,RFI=0.296 | Ds=11.77 | 36셀 | RFI순위#4 | 경로타당성73%
S016,공역+장애물 (엄격제외),strict_exclusion,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,5,9.6823,31,0.71936,0,0.535,RFI=0.185 | Ds=9.68 | 31셀 | RFI순위#5 | 경로타당성72%
S016,공역+장애물 (엄격제외),strict_exclusion,205-2-000028,해오름,37.44109,127.15909,중원구,금광1동,6,0.0,0,0.5,0,0.50109,RFI=0.000 | Ds=0.00 | 0셀 | RFI순위#6 | 경로타당성50%
S017,공역+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-3-000001,분당구청 부설주차장,37.38262,127.11896,분당구,수내1동,1,21.8481,58,0.82629,58,0.69271,RFI=0.858 | Ds=21.85 | 58셀 | RFI순위#1 | 경로타당성83%
S017,공역+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000011,수내역환승,37.37928,127.11886,분당구,수내1동,2,21.8928,60,0.7752,60,0.69279,RFI=0.831 | Ds=21.89 | 60셀 | RFI순위#2 | 경로타당성78%
S017,공역+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,3,23.7052,60,0.78124,60,0.61974,RFI=0.824 | Ds=23.71 | 60셀 | RFI순위#3 | 경로타당성78%
S017,공역+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,4,19.451,58,0.78547,58,0.59838,RFI=0.786 | Ds=19.45 | 58셀 | RFI순위#4 | 경로타당성79%
S017,공역+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000023,정자동공영주차장,37.37109,127.11221,분당구,정자동,5,21.7082,59,0.76254,59,0.60193,RFI=0.784 | Ds=21.71 | 59셀 | RFI순위#5 | 경로타당성76%
S017,공역+소음+로봇접근+기상 (승인허용),approval_required_allowed,206-2-000003,야탑 제2환승,37.41176,127.12816,분당구,야탑1동,6,17.9107,58,0.69246,58,0.54234,RFI=0.761 | Ds=17.91 | 58셀 | RFI순위#6 | 경로타당성69%
S018,공역+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-3-000007,구미도서관,37.34553,127.10769,분당구,구미1동,1,14.9748,48,0.7626,0,0.48579,RFI=0.734 | Ds=14.97 | 48셀 | RFI순위#1 | 경로타당성76%
S018,공역+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-2-000009,금곡동,37.35086,127.10686,분당구,금곡동,2,18.9573,57,0.69945,0,0.50197,RFI=0.600 | Ds=18.96 | 57셀 | RFI순위#2 | 경로타당성70%
S018,공역+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-2-000008,오리환승,37.33971,127.10941,분당구,구미동,3,10.7587,36,0.78196,0,0.51049,RFI=0.504 | Ds=10.76 | 36셀 | RFI순위#3 | 경로타당성78%
S018,공역+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-3-000004,분당도서관 부설주차장,37.3581,127.11658,분당구,정자3동,4,11.2617,36,0.7302,0,0.55042,RFI=0.327 | Ds=11.26 | 36셀 | RFI순위#4 | 경로타당성73%
S018,공역+소음+로봇접근+기상 (엄격제외),strict_exclusion,206-2-000006,정자전원마을,37.35922,127.12451,분당구,정자3동,5,8.4414,31,0.71936,0,0.535,RFI=0.172 | Ds=8.44 | 31셀 | RFI순위#5 | 경로타당성72%
