h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,tall_bldg_count,total_bldg_count,avg_slope,terrain_zone,Hr,Fp,Cc,Od,Ds_v2,Ec,Od_v2,Ds_v3,Ra,total_walk_length,robot_walk_length,n_crossings,avg_robot_weight,score_construction,score_protected,composite_6layer,composite_v3
8930e1c9ab7ffff,37.41453208527345,127.09732354610576,41131650,시흥동,수정구,0.1287571319758471,0.268369406110957,0.1846020416298911,0.0,0.4750000000000001,0.9725745629070964,1.0,0.8,0.0,6,22,,Unknown,0.0966476795218974,0.261308367454804,0.1287571319758471,0.1287571319758471,0.1522621051094014,0.3081515232711472,0.1828140587829023,0.1912274332382693,0.5612336124923446,5400.7,3631.3,66,0.6333,0.5,0.6,0.0,0.08418504187385169
8930e152503ffff,37.44750611977906,127.15255462960418,41131520,신흥2동,수정구,0.0739779873982822,0.2306599076290831,0.1366507554906026,0.0,0.9125,0.9262941378128212,1.0,0.8,0.0,1,44,,Unknown,0.2115977215426277,0.2118454682152606,0.0739779873982822,0.0739779873982822,0.1497307778458304,0.0703249510941774,0.122803315171514,0.1425496090029281,0.4523455431031898,4685.9,2311.5,36,0.4889,1.0,0.6,0.0,0.06785183146547846
8930e152ecbffff,37.41985029099256,127.17906870449652,41133670,도촌동,중원구,0.1258360805453779,0.2006614114125326,0.1557662128922398,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.282659445326361,0.1929170348690428,0.1258360805453779,0.1258360805453779,0.189653328560589,0.1745603382005516,0.2850510321540941,0.2120852068776988,0.0,0.0,0.0,0,0.0,1.0,0.6,0.0,0.0
8930e1533afffff,37.3733731718486,127.15150681028504,41135510,분당동,분당구,0.0352251358978095,0.151264084629794,0.0816407153906033,0.0,1.0,0.9605759341789508,1.0,0.8,0.0,0,23,,Unknown,0.283406480530395,0.1397587607511954,0.0352251358978095,0.0352251358978095,0.1358129455009316,0.0551713760440734,0.0844908295602793,0.1295562991052563,0.6076301521621215,8514.2,5991.6,36,0.6389,1.0,0.6,0.0,0.09114452282431822
8930e1c8b03ffff,37.45970129157011,127.13522039364555,41131620,복정동,수정구,0.1169695747533441,0.1752065572430349,0.1402643677492204,0.0,1.0,0.9948577305450804,1.0,0.8,0.0,0,3,,Unknown,0.3983565225511252,0.1664261426881347,0.1169695747533441,0.1169695747533441,0.2137498010763761,0.203764487421365,0.2129345407106131,0.228961352716942,0.527026388902552,6114.4,3675.2,14,0.6286,0.7,0.6,0.0,0.0790539583353828
8930e026da3ffff,37.40412351476744,127.0781134501869,41131650,시흥동,수정구,0.1287571319758471,0.268369406110957,0.1846020416298911,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.0966476795218974,0.261308367454804,0.1287571319758471,0.1287571319758471,0.1522621051094014,0.3081515232711472,0.1828140587829023,0.1912274332382693,0.5199504337817082,3906.4,2437.9,4,0.6,0.5,0.6,0.0,0.07799256506725623
8930e1506a3ffff,37.38268867439966,127.16803068809374,41135580,서현1동,분당구,0.9968130393916228,0.6447023797590359,0.855968775538588,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.3879914090951536,0.6379679208477442,0.9968130393916228,0.9968130393916228,0.7244552706667124,0.6063353609372737,0.898837387767631,0.6800467246742612,0.0,0.0,0.0,0,0.0,1.0,0.6,0.0,0.0
8930e1c99afffff,37.43732651254488,127.12021344271602,41131580,수진2동,수정구,0.1151188757261671,0.1505235251019628,0.1292807354764854,0.0,0.9125,0.9057250599931436,1.0,0.8,0.0,1,56,,Unknown,0.3193575497245308,0.1365929046010378,0.1151188757261671,0.1151188757261671,0.1817589851443938,0.06804456258252,0.1993515463126391,0.1736933879599735,0.5856043524489416,21379.1,9812.4,36,0.6944,1.0,0.6,0.0,0.08784065286734123
8930e1c9e93ffff,37.42520462656691,127.06940060690027,41131640,고등동,수정구,0.0919400957440941,0.1242854967661393,0.1048782561529121,0.0,1.0,0.8440178265341103,1.0,0.8,0.0,0,91,,Unknown,0.168923335512186,0.1176946116277231,0.0919400957440941,0.0919400957440941,0.1214736966454289,0.159100173110528,0.1561660655360294,0.1394027198049199,0.472477565331466,4981.1,2609.1,36,0.5278,0.5,0.6,0.0,0.0708716347997199
8930e153233ffff,37.36297694467332,127.13228095991256,41135540,수내3동,분당구,0.0702526849612489,0.0896260720985284,0.0780020398161607,0.0,1.0,0.9777168323620158,1.0,0.8,0.0,0,13,,Unknown,0.1250350172751891,0.0845000198186431,0.0702526849612489,0.0702526849612489,0.0902492183697795,0.0217081848621454,0.0963663571483385,0.0810058858194555,0.4232671088042142,1092.2,546.1,10,0.5,1.0,0.6,0.0,0.06349006632063213
8930e1532a7ffff,37.36862666602844,127.13275860898683,41135510,분당동,분당구,0.0352251358978095,0.151264084629794,0.0816407153906033,0.0,0.7375,0.8663009941720945,1.0,0.8,0.0,3,81,,Unknown,0.283406480530395,0.1397587607511954,0.0352251358978095,0.0352251358978095,0.1358129455009316,0.0551713760440734,0.0844908295602793,0.1295562991052563,0.5502540004837799,5150.2,3384.8,26,0.6769,1.0,0.6,0.0,0.08253810007256698
8930e026c9bffff,37.39502862885007,127.04855625469696,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,0.0,1.0,0.9742886527254028,1.0,0.8,0.0,0,15,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642,0.3543527346636403,3482.3,1187.7,6,0.4,0.7,0.6,0.0,0.053152910199546044
8930e1c93c3ffff,37.40914508697657,127.04973145915588,41131650,시흥동,수정구,0.1287571319758471,0.268369406110957,0.1846020416298911,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.0966476795218974,0.261308367454804,0.1287571319758471,0.1287571319758471,0.1522621051094014,0.3081515232711472,0.1828140587829023,0.1912274332382693,0.0,0.0,0.0,0,0.0,0.5,0.6,0.0,0.0
8930e1c98a7ffff,37.432564346962266,127.1014602178742,41131640,고등동,수정구,0.0919400957440941,0.1242854967661393,0.1048782561529121,0.0,1.0,0.9057250599931436,1.0,0.8,0.0,0,55,,Unknown,0.168923335512186,0.1176946116277231,0.0919400957440941,0.0919400957440941,0.1214736966454289,0.159100173110528,0.1561660655360294,0.1394027198049199,0.4057126774141673,3194.0,1391.4,26,0.4308,0.5,0.6,0.0,0.06085690161212509
8930e1c9d8bffff,37.44800166017213,127.09227281146354,41131630,신촌동,수정구,0.0012456656074338,0.0292472417708526,0.0124462960728013,0.0,1.0,0.996571820363387,1.0,0.8,0.0,0,2,,Unknown,0.0501447380707815,0.0270611245803531,0.0012456656074338,0.0012456656074338,0.0223692520896679,0.0380312117205992,0.0146957255774691,0.0280081437359929,0.0,0.0,0.0,0,0.0,1.0,0.6,0.0,0.0
8930e152387ffff,37.42291616204069,127.16620853145608,41133670,도촌동,중원구,0.1258360805453779,0.2006614114125326,0.1557662128922398,0.0,1.0,0.9417209461775796,1.0,0.8,0.0,0,34,,Unknown,0.282659445326361,0.1929170348690428,0.1258360805453779,0.1258360805453779,0.189653328560589,0.1745603382005516,0.2850510321540941,0.2120852068776988,0.3649540089202341,5526.2,1806.6,12,0.3333,1.0,0.6,0.0,0.054743101338035116
8930e152cbbffff,37.44854134951044,127.18939584433396,41133570,상대원1동,중원구,0.1464882246035055,0.317823978552547,0.2150225261831221,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.5088243533476515,0.2910084552227944,0.1464882246035055,0.1464882246035055,0.2913191208815715,0.9372439985935204,0.653576087790653,0.5001906371894749,0.539867860198797,1345.1,941.5,2,0.7,0.5,0.6,0.0,0.08098017902981954
8930e024957ffff,37.33713681871099,127.12224081463047,41135670,구미동,분당구,0.4625237494876398,0.3638099021031401,0.4230382105338399,1.0,1.0,0.910867329448063,1.0,0.8,0.7286938635584504,0,52,,Unknown,0.4201139228686152,0.3347497094445013,0.4625237494876398,0.4625237494876398,0.4178572914911478,0.3011957405091735,0.3673163993553833,0.3798197805087242,0.575307914128126,6906.5,4647.3,60,0.6667,0.3,0.6,0.13116489544052107,0.1977863482436618
8930e153683ffff,37.37932113610521,127.10484245897128,41135550,정자1동,분당구,0.5303897174782778,0.5484965438631837,0.5376324480322402,0.0,0.5625,0.9622900239972574,1.0,0.8,0.0,5,27,,Unknown,0.5654122700532263,0.5316036957519632,0.5303897174782778,0.5303897174782778,0.5411999778191837,0.6184404979551392,0.7528585680300821,0.5903686349548949,0.6236564948920379,5758.9,4468.3,54,0.663,1.0,0.6,0.0,0.09354847423380568
8930e0261cbffff,37.37897588186372,127.02890865505896,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,1.0,1.0,1.0,1.0,0.8,0.8,0,0,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642,0.5417643226912734,1552.2,1086.5,4,0.7,0.7,0.6,0.33599999999999997,0.366864648403691
8930e026b93ffff,37.37348569655975,127.0834032045656,41135662,금곡동,분당구,0.2716677734571954,0.3057914029293038,0.2853172252460388,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.3961154169390232,0.2918124336158817,0.2716677734571954,0.2716677734571954,0.3140382315414153,0.2575278304814252,0.4062428056173739,0.3241668825882624,0.5572526550862776,3243.6,2270.5,4,0.7,0.7,0.6,0.0,0.08358789826294165
8930e1514dbffff,37.34710982458593,127.13355936958354,41135670,구미동,분당구,0.4625237494876398,0.3638099021031401,0.4230382105338399,1.0,1.0,1.0,1.0,0.8,0.8,0,0,,Unknown,0.4201139228686152,0.3347497094445013,0.4625237494876398,0.4625237494876398,0.4178572914911478,0.3011957405091735,0.3673163993553833,0.3798197805087242,0.5398803406246389,1346.4,942.5,10,0.7,0.3,0.6,0.144,0.2033820510936958
8930e150493ffff,37.40379400095825,127.15933482995496,41135640,야탑3동,분당구,0.0952964136419912,0.2491020055222445,0.1568186503940925,0.0,0.9125,0.8491600959890298,1.0,0.8,0.0,1,89,,Unknown,0.469978522737884,0.232590439514758,0.0952964136419912,0.0952964136419912,0.2420245528389508,0.2688061385752717,0.0755314250633105,0.2481629427903718,0.4750223434958768,5109.3,2688.5,80,0.5525,1.0,0.6,0.0,0.07125335152438152
8930e1526cfffff,37.41797407816043,127.12644522879695,41133670,도촌동,중원구,0.1258360805453779,0.2006614114125326,0.1557662128922398,0.0,0.5625,0.7977374014398353,1.0,0.8,0.0,5,123,,Unknown,0.282659445326361,0.1929170348690428,0.1258360805453779,0.1258360805453779,0.189653328560589,0.1745603382005516,0.2850510321540941,0.2120852068776988,0.6846529478405216,13562.1,10274.3,308,0.8143,1.0,0.6,0.0,0.10269794217607824
8930e153097ffff,37.3897226593416,127.12405902798491,41135600,이매1동,분당구,0.1032687369307485,0.2296300483595816,0.1538132615022818,0.0,0.65,0.8217346588961261,1.0,0.8,0.0,4,108,,Unknown,0.145298347184611,0.2137762129782459,0.1032687369307485,0.1032687369307485,0.1435044890187816,0.1127216936242304,0.1246450771237817,0.140974677071365,0.6567266033165611,15461.0,10487.9,298,0.6872,1.0,0.6,0.0,0.09850899049748416
8930e1c993bffff,37.431675751070486,127.11973647794596,41133510,성남동,중원구,0.4585561216747951,0.4205640738554599,0.443359302547061,0.0,1.0,0.9760027425437092,1.0,0.8,0.0,0,14,,Unknown,1.0,0.3908118957979841,0.4585561216747951,0.4585561216747951,0.6040532287031538,0.3013657154585115,1.0,0.6301467465862582,0.7367999999999999,32873.4,17733.5,194,0.5814,0.3,0.6,0.0,0.11051999999999998
8930e024d33ffff,37.35540591812344,127.11330580769332,41135662,금곡동,분당구,0.2716677734571954,0.3057914029293038,0.2853172252460388,1.0,0.7375,0.9262941378128212,1.0,0.8,0.5465135413095646,3,46,,Unknown,0.3961154169390232,0.2918124336158817,0.2716677734571954,0.2716677734571954,0.3140382315414153,0.2575278304814252,0.4062428056173739,0.3241668825882624,0.7061864733613525,11976.0,9829.3,92,0.6717,0.7,0.6,0.22953568735001711,0.30103330525171745
8930e026d2fffff,37.39607714574939,127.08529625541064,41135650,판교동,분당구,0.1275882933326259,0.1865480898138088,0.151172211925099,0.0,1.0,0.9982859101816935,1.0,0.8,0.0,0,1,,Unknown,0.0968344383229059,0.1809293821411808,0.1275882933326259,0.1275882933326259,0.1316974090318486,0.118694274580035,0.1817396976440795,0.1369119542381067,0.5706146792234994,4702.8,3292.0,16,0.7,1.0,0.6,0.0,0.08559220188352491
8930e15357bffff,37.39296995032183,127.13219623733872,41135600,이매1동,분당구,0.1032687369307485,0.2296300483595816,0.1538132615022818,0.0,0.7375,0.7583133356187863,1.0,0.8,0.0,3,144,,Unknown,0.145298347184611,0.2137762129782459,0.1032687369307485,0.1032687369307485,0.1435044890187816,0.1127216936242304,0.1246450771237817,0.140974677071365,0.5077765432315818,6377.3,3591.4,86,0.5465,1.0,0.6,0.0,0.07616648148473727
8930e02684bffff,37.36807319263483,127.06986245128104,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,1.0,0.825,0.9280082276311278,1.0,0.8,0.6124854302365443,2,44,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642,0.5992344140191088,6792.4,4867.7,102,0.8098,0.7,0.6,0.2572438806993486,0.3085424606973126
8930e1cd24fffff,37.44661169906082,127.17085151385778,41133530,금광1동,중원구,0.0932983234690339,0.1457818178067272,0.1142917212041112,0.0,0.5625,0.8268769283510455,1.0,0.8,0.0,5,106,,Unknown,0.1917079092352227,0.1347705732537219,0.0932983234690339,0.0932983234690339,0.1331892616450625,0.017625238391304,0.1151101220167293,0.114332322634127,0.4015564819112255,4362.6,1786.9,38,0.4632,1.0,0.6,0.0,0.060233472286683826
8930e1c8a8fffff,37.45667768462223,127.11397873420854,41131630,신촌동,수정구,0.0012456656074338,0.0292472417708526,0.0124462960728013,0.0,1.0,1.0,1.0,0.8,0.0,0,0,,Unknown,0.0501447380707815,0.0270611245803531,0.0012456656074338,0.0012456656074338,0.0223692520896679,0.0380312117205992,0.0146957255774691,0.0280081437359929,0.0,0.0,0.0,0,0.0,1.0,0.6,0.0,0.0
8930e026a8bffff,37.361344152609504,127.066683491221,41135680,운중동,분당구,0.2059581325868684,0.3036603248464614,0.2450390094907056,1.0,0.825,0.9588618443606444,1.0,0.8,0.6328488172780253,2,26,,Unknown,0.2067419927164067,0.2916803098533317,0.2059581325868684,0.2059581325868684,0.2276238349423457,0.2209674265773783,0.3438914895249789,0.2469903954113642,0.4956676401645528,7644.7,3988.2,40,0.41,0.7,0.6,0.2657965032567706,0.30027717379293795
8930e1c9b7bffff,37.40516627782237,127.11487899149616,41135655,삼평동,분당구,0.4465934301776538,1.0,0.6679560581065923,0.0,0.7375,0.8320191978059649,1.0,0.8,0.0,3,101,,Unknown,0.184330936595387,1.0,0.4465934301776538,0.4465934301776538,0.5062663245585604,1.0,0.7124932852428824,0.6422754129708099,0.5361984065539181,7359.4,4395.0,136,0.6294,0.3,0.6,0.0,0.08042976098308773
8930e1525c7ffff,37.448164838307605,127.1473622477234,41131520,신흥2동,수정구,0.0739779873982822,0.2306599076290831,0.1366507554906026,0.0,0.5625,0.910867329448063,1.0,0.8,0.0,5,57,,Unknown,0.2115977215426277,0.2118454682152606,0.0739779873982822,0.0739779873982822,0.1497307778458304,0.0703249510941774,0.122803315171514,0.1425496090029281,0.403624284876602,4039.3,1690.0,34,0.4294,1.0,0.6,0.0,0.0605436427314903
8930e153473ffff,37.38821753655356,127.11345054963785,41135657,백현동,분당구,0.279685328637519,0.335035490602693,0.3018253934235886,0.0,0.9125,0.7480287967089474,1.0,0.8,0.0,1,148,,Unknown,0.2383976094873471,0.339787948200788,0.279685328637519,0.279685328637519,0.2823246677832847,0.1987804103333867,0.4757117642544701,0.294606904444346,0.6481481519612478,25900.3,12847.8,300,0.66,1.0,0.6,0.0,0.09722222279418716
8930e1c8bc7ffff,37.46035859212792,127.13002854024788,41131620,복정동,수정구,0.1169695747533441,0.1752065572430349,0.1402643677492204,0.0,0.3,0.8440178265341103,1.0,0.8,0.0,10,101,,Unknown,0.3983565225511252,0.1664261426881347,0.1169695747533441,0.1169695747533441,0.2137498010763761,0.203764487421365,0.2129345407106131,0.228961352716942,0.5012921617673837,5550.6,3136.8,78,0.6462,0.7,0.6,0.0,0.07519382426510755
8930e1cd62bffff,37.46489052357411,127.1619071461645,41131610,양지동,수정구,0.0413673771528296,0.0497798714423575,0.0447323748686408,0.0,1.0,0.9914295509084676,1.0,0.8,0.0,0,5,,Unknown,0.1411896535624241,0.0466749071445191,0.0413673771528296,0.0413673771528296,0.0726409425736303,0.0028229364954274,0.0603177039367661,0.0625181131396761,0.4786293583625428,11263.0,4887.0,38,0.5789,1.0,0.6,0.0,0.07179440375438141
8930e026983ffff,37.391512004919726,127.08753247336504,41135650,판교동,분당구,0.1275882933326259,0.1865480898138088,0.151172211925099,0.0,0.9125,0.7446006170723345,1.0,0.8,0.0,1,150,,Unknown,0.0968344383229059,0.1809293821411808,0.1275882933326259,0.1275882933326259,0.1316974090318486,0.118694274580035,0.1817396976440795,0.1369119542381067,0.5123734330221628,7777.9,4268.5,142,0.5958,1.0,0.6,0.0,0.0768560149533244
