target_h3_index,assigned_lot_id,assigned_lot_name,target_ADM_NM,target_GU_NM,Ds,delivery_zone,drone_time_min,route_mean_constraint_score,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible,scenario_id,route_explanation,time_saving_min,co2_saving_g
8830e0269dfffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.8849047338802701,0.5547924371930038,True,False,True,S001,거점→목적지: 운중동공영주차장 → 운중동 | 드론시간: 0.9분 | 관제권 승인필요 | 로봇인계가능,24.11509526611973,1085.1792869753879
8830e026c3fffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,1.244745130601531,0.583421232839563,True,False,True,S001,거점→목적지: 운중동공영주차장 → 운중동 | 드론시간: 1.2분 | 관제권 승인필요 | 로봇인계가능,23.75525486939847,1068.986469122931
8830e026d1fffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.7693077183149374,0.584114669931643,True,False,True,S001,거점→목적지: 운중동공영주차장 → 운중동 | 드론시간: 0.8분 | 관제권 승인필요 | 로봇인계가능,24.230692281685062,1090.3811526758277
8830e026d3fffff,206-2-000022,운중동공영주차장,시흥동,수정구,0.2292619362013324,부적합,0.8850163862029946,0.6082885198402275,True,False,True,S001,거점→목적지: 운중동공영주차장 → 시흥동 | 드론시간: 0.9분 | 관제권 승인필요 | 로봇인계가능,24.114983613797005,1085.1742626208652
8830e026d5fffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.5448767638885839,0.56764898669784,True,False,True,S001,거점→목적지: 운중동공영주차장 → 운중동 | 드론시간: 0.5분 | 관제권 승인필요 | 로봇인계가능,24.455123236111415,1100.4805456250137
8830e026d7fffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.155889334936054,0.6106564255536642,True,False,True,S001,거점→목적지: 운중동공영주차장 → 운중동 | 드론시간: 0.2분 | 관제권 승인필요 | 로봇인계가능,24.844110665063948,1117.9849799278777
8830e026dbfffff,206-2-000022,운중동공영주차장,시흥동,수정구,0.2292619362013324,부적합,1.469948804848266,0.5879477291458545,True,False,True,S001,거점→목적지: 운중동공영주차장 → 시흥동 | 드론시간: 1.5분 | 관제권 승인필요 | 로봇인계가능,23.530051195151735,1058.8523037818281
8830e026ddfffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,1.1749648446797616,0.5695694937192393,True,False,True,S001,거점→목적지: 운중동공영주차장 → 운중동 | 드론시간: 1.2분 | 관제권 승인필요 | 로봇인계가능,23.82503515532024,1072.1265819894109
8830e15209fffff,204-2-000018,태평4동 제1,성남동,중원구,0.5129422940779669,부적합,1.462752600934604,0.4543237202649031,True,False,True,S001,거점→목적지: 태평4동 제1 → 성남동 | 드론시간: 1.5분 | 관제권 승인필요 | 로봇인계가능,23.537247399065397,1059.1761329579429
8830e15229fffff,206-2-000004,맛고을,도촌동,중원구,0.2853938536924451,부적합,1.160321186850498,0.5203275878335752,True,False,True,S001,거점→목적지: 맛고을 → 도촌동 | 드론시간: 1.2분 | 관제권 승인필요 | 로봇인계가능,23.8396788131495,1072.7855465917276
