scenario_id,lot_id,lot_name,hub_lat,hub_lon,target_h3_index,target_ADM_NM,target_GU_NM,target_lat,target_lon,scenario_h3_score,drone_time_min,time_saving_min,co2_saving_g,airspace_approval_required,drone_direct_feasible_strict,route_constraint_score,hub_rank
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024dcbffff,금곡동,분당구,37.35,127.09976,0.3364,0.63628,24.36,1096.2,False,True,0.75793,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024dc3ffff,금곡동,분당구,37.35282,127.1,0.3351,0.6457,24.35,1095.8,False,True,0.76669,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d87ffff,정자1동,분당구,37.36063,127.10589,0.4974,1.08747,23.91,1076.0,False,True,0.65709,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d77ffff,구미1동,분당구,37.34976,127.11283,0.2853,0.54268,24.46,1100.7,False,True,0.67361,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d13ffff,금곡동,분당구,37.35499,127.10541,0.2507,0.47503,24.52,1103.4,False,True,0.63262,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024dd3ffff,금곡동,분당구,37.35456,127.09752,0.337,0.92328,24.08,1083.6,False,True,0.77513,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024dbbffff,정자1동,분당구,37.35889,127.10836,0.4953,0.90062,24.1,1084.5,False,True,0.64717,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d17ffff,금곡동,분당구,37.35607,127.10812,0.2461,0.58817,24.41,1098.5,False,True,0.62897,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024ca7ffff,금곡동,분당구,37.35348,127.09482,0.3101,1.1057,23.89,1075.0,False,True,0.75576,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d8bffff,금곡동,분당구,37.35673,127.10294,0.3115,0.73748,24.26,1091.7,False,True,0.71521,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d4bffff,구미1동,분당구,37.34369,127.10446,0.3269,0.82358,24.18,1088.1,False,True,0.73818,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d7bffff,구미1동,분당구,37.34585,127.10988,0.3437,0.61691,24.38,1097.1,False,True,0.75478,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024ddbffff,금곡동,분당구,37.35174,127.09729,0.3374,0.85349,24.15,1086.8,False,True,0.7579,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024c23ffff,구미1동,분당구,37.34609,127.09681,0.3016,1.03536,23.96,1078.2,False,True,0.73623,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024d2bffff,구미1동,분당구,37.35084,127.11554,0.2613,0.76867,24.23,1090.3,False,True,0.63983,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e024cafffff,금곡동,분당구,37.35066,127.09458,0.3098,1.08805,23.91,1076.0,False,True,0.74666,2
S001,206-2-000009,금곡동,37.35086,127.10686,8930e02499bffff,구미동,분당구,37.34627,127.11777,0.2442,1.09249,23.91,1076.0,False,True,0.688,2
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152683ffff,성남동,중원구,37.42645,127.12716,0.3361,0.70022,24.3,1093.5,True,False,0.85608,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1c9b2fffff,야탑1동,분당구,37.41124,127.12325,0.5079,1.02706,23.97,1078.6,True,False,0.77949,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1526cbffff,도촌동,중원구,37.41689,127.12373,0.1948,0.42875,24.57,1105.7,True,False,0.78525,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1c996bffff,도촌동,중원구,37.4232,127.11902,0.2459,0.72452,24.28,1092.6,True,False,0.87492,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152607ffff,도촌동,중원구,37.42122,127.13459,0.2162,0.74409,24.26,1091.7,True,False,0.78796,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e15264fffff,야탑1동,분당구,37.41166,127.13116,0.382,1.03841,23.96,1078.2,True,False,0.70584,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1526c7ffff,도촌동,중원구,37.4208,127.12668,0.2438,0.07766,24.92,1121.4,True,False,0.87424,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e15268fffff,하대원동,중원구,37.42471,127.12964,0.2149,0.58378,24.42,1098.9,True,False,0.85815,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152653ffff,야탑1동,분당구,37.41515,127.12621,0.3727,0.55799,24.44,1099.8,True,False,0.74899,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152617ffff,도촌동,중원구,37.42297,127.13211,0.2306,0.6016,24.4,1098.0,True,False,0.85001,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1c9963ffff,도촌동,중원구,37.42603,127.11926,0.247,0.89815,24.1,1084.5,True,False,0.8756,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152643ffff,야탑1동,분당구,37.41341,127.12868,0.3651,0.78071,24.22,1089.9,True,False,0.71246,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152677ffff,도촌동,중원구,37.41666,127.13682,0.1739,1.01138,23.99,1079.5,True,False,0.68312,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1526dbffff,도촌동,중원구,37.41863,127.12126,0.2436,0.47634,24.52,1103.4,True,False,0.87104,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1526afffff,하대원동,중원구,37.42513,127.13754,0.199,1.13787,23.86,1073.7,True,False,0.80332,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152603ffff,도촌동,중원구,37.42014,127.13187,0.2046,0.49487,24.51,1103.0,True,False,0.79433,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1526d3ffff,도촌동,중원구,37.42146,127.1215,0.2439,0.4465,24.55,1104.8,True,False,0.87222,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1c9ba7ffff,시흥동,수정구,37.42037,127.11878,0.1897,0.66375,24.34,1095.3,True,False,0.87131,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e15260fffff,도촌동,중원구,37.4184,127.13435,0.1814,0.74065,24.26,1091.7,True,False,0.71478,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e15264bffff,야탑1동,분당구,37.41058,127.12844,0.4037,1.08175,23.92,1076.4,True,False,0.71578,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1526bbffff,하대원동,중원구,37.42579,127.13235,0.1963,0.82242,24.18,1088.1,True,False,0.83189,3
