dashboard_rank,display_name,name,type,lat,lon,dong,gu,zone,score,near_hub,color
153,구미1동 행정복지센터,구미1동 행정복지센터,주민센터,37.349269,127.111757,구미1동,분당구,로봇전용,0.574,True,#66BB6A
154,공영주차장,nan,공영주차장,37.419677,127.121837,도촌동,중원구,로봇전용,0.572,True,#42A5F5
155,공영주차장,nan,공영주차장,37.466295,127.127537,복정동,수정구,로봇전용,0.572,True,#42A5F5
156,공영주차장,nan,공영주차장,37.41982,127.122658,도촌동,중원구,로봇전용,0.572,True,#42A5F5
157,청솔중학교,청솔중학교,학교,37.355726,127.110784,금곡동,분당구,Hybrid,0.572,True,#EF5350
158,금곡동 행정복지센터,금곡동 행정복지센터,주민센터,37.351644,127.107068,금곡동,분당구,로봇전용,0.571,True,#66BB6A
159,공영주차장,nan,공영주차장,37.357532,127.105459,정자1동,분당구,일반,0.571,True,#42A5F5
160,분당중학교,분당중학교,학교,37.360533,127.11065,정자3동,분당구,Hybrid,0.57,True,#EF5350
161,이마트에브리데이 분당정자점,이마트에브리데이 분당정자점,대형마트,37.371792,127.10627,정자1동,분당구,로봇전용,0.57,True,#FFA726
162,분당경영고등학교,분당경영고등학교,학교,37.355782,127.109636,금곡동,분당구,Hybrid,0.569,True,#EF5350
163,금곡공원,금곡공원,공원,37.357146,127.109579,정자동,분당구,Hybrid,0.567,True,#AB47BC
164,학교,nan,학교,37.343879,127.115355,구미동,분당구,Hybrid,0.56,True,#EF5350
165,공영주차장,nan,공영주차장,37.386787,127.141478,서현1동,분당구,일반,0.558,True,#42A5F5
166,분당중앙고등학교,분당중앙고등학교,학교,37.360419,127.123975,정자3동,분당구,Hybrid,0.554,True,#EF5350
167,공영주차장,nan,공영주차장,37.404766,127.115093,삼평동,분당구,일반,0.553,True,#42A5F5
168,공영주차장,nan,공영주차장,37.403048,127.099337,삼평동,분당구,일반,0.551,True,#42A5F5
169,공영주차장,nan,공영주차장,37.402774,127.106821,삼평동,분당구,일반,0.551,True,#42A5F5
170,공영주차장,nan,공영주차장,37.403683,127.109083,삼평동,분당구,일반,0.551,True,#42A5F5
171,공영주차장,nan,공영주차장,37.394275,127.104373,삼평동,분당구,일반,0.55,True,#42A5F5
172,공영주차장,nan,공영주차장,37.405768,127.103179,삼평동,분당구,일반,0.549,True,#42A5F5
173,율동공원,율동공원,공원,37.377825,127.150041,서현1동,분당구,로봇전용,0.549,True,#AB47BC
174,공원,nan,공원,37.382238,127.149614,서현1동,분당구,로봇전용,0.548,True,#AB47BC
175,공원,nan,공원,37.3795,127.131784,서현1동,분당구,로봇전용,0.547,True,#AB47BC
176,공원,nan,공원,37.377758,127.131844,서현1동,분당구,로봇전용,0.547,True,#AB47BC
177,분당어린이공원,분당어린이공원,공원,37.379056,127.13115,서현1동,분당구,로봇전용,0.547,True,#AB47BC
178,공원,nan,공원,37.378584,127.130735,서현1동,분당구,로봇전용,0.547,True,#AB47BC
179,잔디광장,잔디광장,공원,37.381885,127.120072,서현1동,분당구,로봇전용,0.546,True,#AB47BC
180,공원,nan,공원,37.376861,127.130904,서현1동,분당구,로봇전용,0.545,True,#AB47BC
181,공원,nan,공원,37.377056,127.130081,서현1동,분당구,로봇전용,0.545,True,#AB47BC
182,공원,nan,공원,37.378623,127.128136,서현1동,분당구,로봇전용,0.545,True,#AB47BC
183,공원,nan,공원,37.377569,127.128348,서현1동,분당구,로봇전용,0.545,True,#AB47BC
184,공원,nan,공원,37.377725,127.127645,서현1동,분당구,로봇전용,0.545,True,#AB47BC
185,백현동 행정복지센터,백현동 행정복지센터,주민센터,37.388452,127.110851,백현동,분당구,로봇전용,0.544,True,#66BB6A
186,공원,nan,공원,37.380851,127.129906,서현1동,분당구,로봇전용,0.544,True,#AB47BC
187,공원,nan,공원,37.379152,127.129083,서현1동,분당구,로봇전용,0.544,True,#AB47BC
188,롯데슈퍼마켓,롯데슈퍼마켓,대형마트,37.473506,127.149904,위례동,수정구,로봇전용,0.544,True,#FFA726
189,공원,nan,공원,37.37946,127.134345,서현1동,분당구,로봇전용,0.543,True,#AB47BC
190,공원,nan,공원,37.38151,127.132248,서현1동,분당구,로봇전용,0.543,True,#AB47BC
