scenario_key,layer_key,demand_key,hub_rank,facility_index,facility_id,hub_name,facility,capacity,idle_score,lat,lon,new_hotspot_cells,cumulative_hotspot_cells,cumulative_coverage_pct,layer_label,demand_label
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,9,93,204-2-000029,수진 제3,주차장,223,1.0,37.438147,127.133322,12,109,6.16,로봇 접근성(Ra),선택 없음
A0O0N0R1W0__B0C0D0,A0O0N0R1W0,B0C0D0,10,135,205-2-000031,중앙동제6,주차장,75,1.0,37.439195,127.148499,12,121,6.84,로봇 접근성(Ra),선택 없음
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,1,167,206-3-000004,분당도서관 부설주차장,주차장,186,1.0,37.358104,127.11658,12,12,0.9,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,2,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,24,1.8,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,3,161,205-3-000001,성남시청 부설주차장,주차장,1184,1.0,37.420178,127.12628,12,36,2.69,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,4,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,12,48,3.59,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,5,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,59,4.42,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,6,63,205-1-000064,모란2,주차장,24,0.9513031344662622,37.429731,127.125431,11,70,5.24,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,7,170,206-3-000007,구미도서관,주차장,71,1.0,37.345532,127.107689,11,81,6.06,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,8,145,206-2-000007,정자역환승,주차장,208,1.0,37.365753,127.107329,11,92,6.89,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,9,158,206-2-000022,운중동공영주차장,주차장,235,1.0,37.390875,127.0779,11,103,7.71,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C0D1,A0O0N0R1W0,B0C0D1,10,42,205-1-000043,중상79하,주차장,74,0.9350523594182064,37.444641,127.176881,11,114,8.53,로봇 접근성(Ra),상권활력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,1,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,12,0.91,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,2,167,206-3-000004,분당도서관 부설주차장,주차장,186,1.0,37.358104,127.11658,12,24,1.82,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,3,140,206-2-000002,야탑 제1환승,주차장,111,1.0,37.412069,127.129173,12,36,2.73,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,4,168,206-3-000005,판교도서관,주차장,95,1.0,37.391898,127.090871,11,47,3.57,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,5,158,206-2-000022,운중동공영주차장,주차장,235,1.0,37.390875,127.0779,11,58,4.4,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,6,145,206-2-000007,정자역환승,주차장,208,1.0,37.365753,127.107329,11,69,5.24,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,7,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,80,6.07,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,8,170,206-3-000007,구미도서관,주차장,71,1.0,37.345532,127.107689,11,91,6.9,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,9,149,206-2-000011,수내역환승,주차장,526,1.0,37.379279,127.118856,10,101,7.66,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D0,A0O0N0R1W0,B0C1D0,10,148,206-2-000010,수내동,주차장,129,1.0,37.366796,127.127962,10,111,8.42,로봇 접근성(Ra),소비력지수
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,1,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,12,0.91,로봇 접근성(Ra),소비력지수 + 상권활력지수
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,2,167,206-3-000004,분당도서관 부설주차장,주차장,186,1.0,37.358104,127.11658,12,24,1.82,로봇 접근성(Ra),소비력지수 + 상권활력지수
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,3,140,206-2-000002,야탑 제1환승,주차장,111,1.0,37.412069,127.129173,12,36,2.73,로봇 접근성(Ra),소비력지수 + 상권활력지수
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,4,165,206-3-000002,도서관사업소,주차장,324,1.0,37.403967,127.134723,12,48,3.64,로봇 접근성(Ra),소비력지수 + 상권활력지수
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,5,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,59,4.47,로봇 접근성(Ra),소비력지수 + 상권활력지수
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,6,145,206-2-000007,정자역환승,주차장,208,1.0,37.365753,127.107329,11,70,5.31,로봇 접근성(Ra),소비력지수 + 상권활력지수
