id,name,type,subtype,address,capacity,facility,avg_monthly_entries,idle_score,lat,lon
205-2-000001,대원천,공영,노외,경기도 성남시 중원구 둔촌대로 10,218,주차장,,1.0,37.42891,127.120151
205-2-000002,성남동 대형,공영,노외,경기도 성남시 중원구 둔촌대로 10,565,주차장,,1.0,37.428909,127.120119
205-2-000003,성남동 제1,공영,노외,경기도 성남시 중원구 시민로 77번길 10,388,주차장,,1.0,37.434879,127.14482
205-2-000004,성남동 제2,공영,노외,경기도 성남시 중원구 원터로67,251,주차장,,1.0,37.43258,127.142777
205-2-000005,대원지하,공영,노외,경기도 성남시 중원구 희망로343번길 24,153,주차장,,1.0,37.436671,127.155099
205-2-000006,상대원 제4,공영,노외,경기도 성남시 중원구 박석로 42,283,주차장,,1.0,37.435885,127.166118
205-2-000007,상대원 3동,공영,노외,경기도 성남시 중원구 박석로 94,108,주차장,,1.0,37.440857,127.164823
205-2-000008,금광1동 제1,공영,노외,경기도 성남시 중원구 금빛로 10,126,주차장,,1.0,37.44306,127.169506
205-2-000009,금광2동 제2,공영,노외,경기도 성남시 중원구 산성대로 434,134,주차장,,1.0,37.450486,127.159943
205-2-000010,금광공영주차장,공영,노외,경기도 성남시 중원구 광명로 366,54,주차장,,1.0,37.446271,127.166525
205-2-000011,금광2동 제1,공영,노외,경기도 성남시 중원구 금빛로69번길 18,280,주차장,,1.0,37.447889,127.164401
205-2-000012,자혜,공영,노외,경기도 성남시 중원구 자혜로 72번길 9,195,주차장,,1.0,37.450717,127.168131
205-2-000013,은행2동 제3,공영,노외,경기도 성남시 중원구 은행로9,227,주차장,,1.0,37.454915,127.163172
205-2-000014,은행동 제5,공영,노외,경기도 성남시 중원구 자혜로 115,292,주차장,,1.0,37.452693,127.171883
205-2-000015,은행1동 제2,공영,노외,경기도 성남시 중원구 금빛로 112번길 35,135,주차장,,1.0,37.453195,127.169027
