h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,terrain_zone,avg_slope,tall_bldg_count,total_bldg_count,urgency_level,composite_level
8930e1533abffff,37.37229155685025,127.14879370488337,41135510,분당동,분당구,0.035225135897809526,0.15126408462979404,0.08164071539060333,0.0,0.9125,0.9314364072677408,1.0,0.8,0.0,Unknown,,1,41,매우 낮음,부적합
8930e026c17ffff,37.392632509936746,127.0562083801771,41135680,운중동,분당구,0.2059581325868684,0.30366032484646144,0.24503900949070562,0.0,0.7375,0.8594446348988686,1.0,0.8,0.0,Unknown,,3,85,높음,부적합
8930e0268bbffff,37.38327349685045,127.0737505335526,41135680,운중동,분당구,0.2059581325868684,0.30366032484646144,0.24503900949070562,0.0,0.9125,0.9348645869043537,1.0,0.8,0.0,Unknown,,1,39,높음,부적합
8930e1c99abffff,37.436242658453885,127.1174997958418,41131640,고등동,수정구,0.0919400957440941,0.12428549676613931,0.10487825615291219,0.0,1.0,0.9948577305450805,1.0,0.8,0.0,Unknown,,0,3,매우 낮음,부적합
8930e1c9e8fffff,37.42172459035403,127.07434821397625,41131650,시흥동,수정구,0.12875713197584718,0.26836940611095705,0.18460204162989113,0.0,1.0,0.9691463832704833,1.0,0.8,0.0,Unknown,,0,18,보통,부적합
8930e1cd3dbffff,37.46117029931075,127.17997043656463,41133560,은행2동,중원구,0.1344689082617625,0.1276370413956344,0.13173616151531126,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,낮음,부적합
8930e1532a3ffff,37.36754494595803,127.1300469393307,41135540,수내3동,분당구,0.07025268496124894,0.08962607209852848,0.07800203981616075,0.0,0.825,0.9022968803565307,1.0,0.8,0.0,Unknown,,2,59,매우 낮음,부적합
8930e026c97ffff,37.39893547549475,127.05149877568722,41135680,운중동,분당구,0.2059581325868684,0.30366032484646144,0.24503900949070562,0.0,1.0,0.996571820363387,1.0,0.8,0.0,Unknown,,0,2,높음,부적합
8930e1c98a3ffff,37.43148038810642,127.09874800902544,41131640,고등동,수정구,0.0919400957440941,0.12428549676613931,0.10487825615291219,0.0,1.0,0.8920123414466917,1.0,0.8,0.0,Unknown,,0,63,매우 낮음,부적합
8930e1c9d87ffff,37.45191115047757,127.0952226380111,41131630,신촌동,수정구,0.0012456656074338796,0.029247241770852642,0.012446296072801386,0.0,1.0,0.9794309221803222,1.0,0.8,0.0,Unknown,,0,12,매우 낮음,부적합
8930e152cb7ffff,37.452451935431355,127.19235669996604,41133570,상대원1동,중원구,0.14648822460350558,0.31782397855254707,0.21502252618312218,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,보통,부적합
8930e024953ffff,37.33605586845313,127.11953112724797,41135670,구미동,분당구,0.46252374948763986,0.3638099021031401,0.42303821053383994,1.0,0.9125,0.861158724717175,1.0,0.8,0.6286458690435378,Unknown,,1,82,매우 높음,높음
8930e15319bffff,37.39339181370409,127.1400961721302,41135600,이매1동,분당구,0.10326873693074859,0.22963004835958162,0.1538132615022818,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,낮음,부적합
8930e153223ffff,37.36123362549345,127.13475366727813,41135540,수내3동,분당구,0.07025268496124894,0.08962607209852848,0.07800203981616075,1.0,1.0,1.0,1.0,0.8,0.8,Unknown,,0,0,매우 낮음,최적
8930e1cd353ffff,37.457683315853465,127.18492499442712,41133570,상대원1동,중원구,0.14648822460350558,0.31782397855254707,0.21502252618312218,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,보통,부적합
8930e0249dbffff,37.33954210522127,127.11458815780368,41135670,구미동,분당구,0.46252374948763986,0.3638099021031401,0.42303821053383994,1.0,0.9125,0.8663009941720945,1.0,0.8,0.632399725745629,Unknown,,1,79,매우 높음,높음
8930e026b8fffff,37.37000289386868,127.08834749685532,41135662,금곡동,분당구,0.27166777345719545,0.30579140292930385,0.2853172252460388,0.0,1.0,0.9948577305450805,1.0,0.8,0.0,Unknown,,0,3,높음,부적합
8930e15048fffff,37.400306613196605,127.16428431212562,41135640,야탑3동,분당구,0.09529641364199123,0.2491020055222445,0.15681865039409254,0.0,1.0,0.9948577305450805,1.0,0.8,0.0,Unknown,,0,3,보통,부적합
8930e1526cbffff,37.41689085975597,127.12373196049744,41133670,도촌동,중원구,0.12583608054537798,0.20066141141253263,0.15576621289223985,0.0,0.825,0.778882413438464,1.0,0.8,0.0,Unknown,,2,131,낮음,부적합
8930e152377ffff,37.412032245880916,127.17315342044958,41133670,도촌동,중원구,0.12583608054537798,0.20066141141253263,0.15576621289223985,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,낮음,부적합
8930e153093ffff,37.38864022136622,127.12134707276579,41135580,서현1동,분당구,0.9968130393916227,0.6447023797590359,0.855968775538588,0.0,0.30000000000000004,0.9520054850874186,1.0,0.8,0.0,Unknown,,10,38,매우 높음,부적합
8930e024d2fffff,37.35192030572759,127.11824990891243,41135665,구미1동,분당구,0.31513740047098093,0.22356132941446688,0.2785069720483753,1.0,0.65,0.9245800479945149,1.0,0.8,0.4807816249571477,Unknown,,4,48,높음,보통
